ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Ano,Mes,Dia,Dia_da_Semana,Trimestre,Ano_Mes,Valor_Total
TXN000001,2023-05-18,9005,Fone De Ouvido,Eletrônicos,780.35,2,2023,5,18,Thursday,2,2023-05,1560.70
TXN000002,2023-10-06,2403,Halter,Esportes,571.66,2,2023,10,6,Friday,4,2023-10,1143.32
TXN000003,2024-12-04,9005,Tênis De Corrida,Esportes,445.90,1,2024,12,4,Wednesday,4,2024-12,445.90
TXN000004,2023-04-05,8260,Ficção Científica,Livros,95.82,1,2023,4,5,Wednesday,2,2023-04,95.82
TXN000005,2023-05-14,6310,Casaco,Roupas,94.89,4,2023,5,14,Sunday,2,2023-05,379.56
TXN000006,2024-07-28,4657,Fone De Ouvido,Eletrônicos,354.19,2,2024,7,28,Sunday,3,2024-07,708.38
TXN000007,2024-07-12,9928,Autoajuda,Livros,22.84,1,2024,7,12,Friday,3,2024-07,22.84
TXN000008,2023-11-12,3167,Caixa De Som,Eletrônicos,1739.04,2,2023,11,12,Sunday,4,2023-11,3478.08
TXN000009,2024-11-13,4814,Biografia,Livros,96.15,2,2024,11,13,Wednesday,4,2024-11,192.30
TXN000010,2023-08-31,9179,Boné,Roupas,359.87,3,2023,8,31,Thursday,3,2023-08,1079.61
TXN000011,2024-02-26,5889,Autoajuda,Livros,17.78,1,2024,2,26,Monday,1,2024-02,17.78
TXN000012,2024-01-27,7873,Cama,Casa e Cozinha,776.23,4,2024,1,27,Saturday,1,2024-01,3104.92
TXN000013,2023-12-25,9835,Vestido,Roupas,419.57,2,2023,12,25,Monday,4,2023-12,839.14
TXN000014,2024-02-13,6539,Romance,Livros,43.67,3,2024,2,13,Tuesday,1,2024-02,131.01
TXN000015,2023-12-26,7615,Cortina,Casa e Cozinha,153.64,1,2023,12,26,Tuesday,4,2023-12,153.64
TXN000016,2023-09-25,5304,Corda De Pular,Esportes,130.46,5,2023,9,25,Monday,3,2023-09,652.30
TXN000017,2024-03-20,2104,Biografia,Livros,56.07,5,2024,3,20,Wednesday,1,2024-03,280.35
TXN000018,2023-04-29,7735,Halter,Esportes,326.73,4,2023,4,29,Saturday,2,2023-04,1306.92
TXN000019,2023-01-02,9565,Halter,Esportes,273.37,1,2023,1,2,Monday,1,2023-01,273.37
TXN000020,2024-11-11,1344,Garrafa Térmica,Esportes,192.46,1,2024,11,11,Monday,4,2024-11,192.46
TXN000021,2023-11-04,4853,Biografia,Livros,97.60,3,2023,11,4,Saturday,4,2023-11,292.80
TXN000022,2024-07-21,9751,Boné,Roupas,86.96,4,2024,7,21,Sunday,3,2024-07,347.84
TXN000023,2024-11-24,5040,Corda De Pular,Esportes,192.98,1,2024,11,24,Sunday,4,2024-11,192.98
TXN000024,2023-11-08,2133,Boné,Roupas,195.85,5,2023,11,8,Wednesday,4,2023-11,979.25
TXN000025,2024-11-01,2982,Cafeteira,Casa e Cozinha,370.30,2,2024,11,1,Friday,4,2024-11,740.60
TXN000026,2024-06-07,4566,Calça Jeans,Roupas,396.88,5,2024,6,7,Friday,2,2024-06,1984.40
TXN000027,2023-12-10,2139,Meias,Roupas,115.84,2,2023,12,10,Sunday,4,2023-12,231.68
TXN000028,2023-05-31,2535,Tablet,Eletrônicos,1052.76,5,2023,5,31,Wednesday,2,2023-05,5263.80
TXN000029,2023-03-16,7396,Cama,Casa e Cozinha,478.01,4,2023,3,16,Thursday,1,2023-03,1912.04
TXN000030,2024-05-21,2790,Jaqueta,Roupas,42.30,1,2024,5,21,Tuesday,2,2024-05,42.30
TXN000031,2023-04-20,2604,Jaqueta,Roupas,311.62,5,2023,4,20,Thursday,2,2023-04,1558.10
TXN000032,2024-04-20,7924,Halter,Esportes,123.05,1,2024,4,20,Saturday,2,2024-04,123.05
TXN000033,2024-04-12,8573,Cortina,Casa e Cozinha,61.39,4,2024,4,12,Friday,2,2024-04,245.56
TXN000034,2024-09-19,2113,Cafeteira,Casa e Cozinha,759.62,4,2024,9,19,Thursday,3,2024-09,3038.48
TXN000035,2024-04-05,9689,Meias,Roupas,483.50,5,2024,4,5,Friday,2,2024-04,2417.50
TXN000036,2024-05-11,5315,Aventura,Livros,124.13,3,2024,5,11,Saturday,2,2024-05,372.39
TXN000037,2023-08-29,6038,História,Livros,56.12,1,2023,8,29,Tuesday,3,2023-08,56.12
TXN000038,2023-05-22,7572,Boné,Roupas,66.88,2,2023,5,22,Monday,2,2023-05,133.76
TXN000039,2023-03-07,5563,Cortina,Casa e Cozinha,550.54,4,2023,3,7,Tuesday,1,2023-03,2202.16
TXN000040,2023-03-05,2040,Abajur,Casa e Cozinha,357.72,5,2023,3,5,Sunday,1,2023-03,1788.60
TXN000041,2024-12-13,1520,Mochila,Esportes,95.17,3,2024,12,13,Friday,4,2024-12,285.51
TXN000042,2023-11-02,1887,Cama,Casa e Cozinha,401.19,3,2023,11,2,Thursday,4,2023-11,1203.57
TXN000043,2024-03-22,1821,Mouse,Eletrônicos,117.06,4,2024,3,22,Friday,1,2024-03,468.24
TXN000044,2023-06-19,3536,Camiseta,Roupas,456.47,5,2023,6,19,Monday,2,2023-06,2282.35
TXN000045,2024-07-31,4582,Mouse,Eletrônicos,554.62,4,2024,7,31,Wednesday,3,2024-07,2218.48
TXN000046,2023-07-06,7924,Biografia,Livros,104.44,4,2023,7,6,Thursday,3,2023-07,417.76
TXN000047,2023-12-01,1117,Toalha,Casa e Cozinha,256.25,4,2023,12,1,Friday,4,2023-12,1025.00
TXN000048,2023-09-16,3045,Liquidificador,Casa e Cozinha,420.85,1,2023,9,16,Saturday,3,2023-09,420.85
TXN000049,2023-12-25,5371,Smartphone,Eletrônicos,1116.09,2,2023,12,25,Monday,4,2023-12,2232.18
TXN000050,2023-07-24,1520,Tapete De Yoga,Esportes,131.29,4,2023,7,24,Monday,3,2023-07,525.16
TXN000051,2024-11-16,3664,Halter,Esportes,582.51,3,2024,11,16,Saturday,4,2024-11,1747.53
TXN000053,2023-11-15,5554,Bola De Futebol,Esportes,565.21,5,2023,11,15,Wednesday,4,2023-11,2826.05
TXN000054,2024-11-24,2545,Cama,Casa e Cozinha,716.91,2,2024,11,24,Sunday,4,2024-11,1433.82
TXN000055,2023-04-15,7932,Luva De Boxe,Esportes,368.79,5,2023,4,15,Saturday,2,2023-04,1843.95
TXN000056,2023-02-12,1514,Mochila,Esportes,555.08,1,2023,2,12,Sunday,1,2023-02,555.08
TXN000057,2024-06-02,1964,Mouse,Eletrônicos,222.56,1,2024,6,2,Sunday,2,2024-06,222.56
TXN000058,2024-03-19,9834,Talheres,Casa e Cozinha,164.83,5,2024,3,19,Tuesday,1,2024-03,824.15
