ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade
TXN000001,2023-05-18,9005.0,Fone de Ouvido,Eletrônicos,780.35,2
TXN000002,2023-10-06,2403.0,Halter,Esportes,571.66,2
TXN000003,2024-12-04,9005.0,Tênis de Corrida,Esportes,445.9,1
TXN000004,2023-04-05,8260.0,Ficção Científica,Livros,95.82,0
TXN000005,2023-05-14,6310.0,Casaco,Roupas,94.89,4
TXN000006,2024-07-28,4657.0,Fone de Ouvido,Eletrônicos,354.19,2
TXN000007,2024-07-12,9928.0,Autoajuda,Livros,22.84,1
TXN000008,2023-11-12,3167.0,Caixa de Som,Eletrônicos,1739.04,2
TXN000009,2024-11-13,4814.0,Biografia,Livros,96.15,2
TXN000010,2023-08-31,9179.0,Boné,Roupas,359.87,3
TXN000011,2024-02-26,5889.0,Autoajuda,Livros,17.78,1
TXN000012,2024-01-27,7873.0,Cama,Casa e Cozinha,776.23,4
TXN000013,2023-12-25,9835.0,Vestido,Roupas,419.57,2
TXN000014,2024-02-13,6539.0,Romance,Livros,43.67,3
TXN000015,2023-12-26,7615.0,Cortina,Casa e Cozinha,153.64,1
TXN000016,2023-09-25,5304.0,Corda de Pular,Esportes,130.46,5
TXN000017,2024-03-20,2104.0,Biografia,Livros,56.07,5
TXN000018,2023-04-29,7735.0,Halter,Esportes,326.73,4
TXN000019,2023-01-02,9565.0,Halter,Esportes,273.37,1
TXN000020,2024-11-11,1344.0,Garrafa Térmica,Esportes,192.46,1
TXN000021,2023-11-04,4853.0,Biografia,Livros,97.6,3
TXN000022,2024-07-21,9751.0,Boné,Roupas,86.96,4
TXN000023,2024-11-24,5040.0,Corda de Pular,Esportes,192.98,1
TXN000024,2023-11-08,2133.0,Boné,Roupas,195.85,5
TXN000025,2024-11-01,2982.0,Cafeteira,Casa e Cozinha,370.3,2
TXN000026,2024-06-07,4566.0,Calça Jeans,Roupas,396.88,5
TXN000027,2023-12-10,2139.0,Meias,Roupas,115.84,2
TXN000028,2023-05-31,2535.0,Tablet,Eletrônicos,1052.76,5
TXN000029,2023-03-16,7396.0,Cama,Casa e Cozinha,478.01,4
TXN000030,2024-05-21,2790.0,Jaqueta,Roupas,42.3,1
TXN000031,2023-04-20,2604.0,Jaqueta,Roupas,311.62,5
TXN000032,2024-04-20,7924.0,Halter,Esportes,123.05,1
TXN000033,2024-04-12,8573.0,Cortina,Casa e Cozinha,61.39,4
TXN000034,2024-09-19,2113.0,Cafeteira,Casa e Cozinha,759.62,4
TXN000035,2024-04-05,9689.0,Meias,Roupas,483.5,5
TXN000036,2024-05-11,5315.0,Aventura,Livros,124.13,3
TXN000037,2023-08-29,6038.0,História,Livros,56.12,1
TXN000038,2023-05-22,7572.0,Boné,Roupas,66.88,2
TXN000039,2023-03-07,5563.0,Cortina,Casa e Cozinha,550.54,4
TXN000040,2023-03-05,2040.0,Abajur,Casa e Cozinha,357.72,5
TXN000041,2024-12-13,1520.0,Mochila,Esportes,95.17,3
TXN000042,2023-11-02,1887.0,Cama,Casa e Cozinha,401.19,3
TXN000043,2024-03-22,1821.0,Mouse,Eletrônicos,117.06,4
TXN000044,2023-06-19,3536.0,Camiseta,Roupas,456.47,5
TXN000045,2024-07-31,4582.0,Mouse,Eletrônicos,554.62,4
TXN000046,2023-07-06,7924.0,Biografia,Livros,104.44,4
TXN000047,2023-12-01,1117.0,Toalha,Casa e Cozinha,256.25,4
TXN000048,2023-09-16,3045.0,Liquidificador,Casa e Cozinha,420.85,1
TXN000049,2023-12-25,5371.0,Smartphone,Eletrônicos,1116.09,2
TXN000050,2023-07-24,1520.0,Tapete de Yoga,Esportes,131.29,4
TXN000051,2024-11-16,3664.0,Halter,Esportes,582.51,3
TXN000052,2024-01-13,,Luva de Boxe,Esportes,470.7,2
TXN000053,2023-11-15,5554.0,Bola de Futebol,Esportes,565.21,5
TXN000054,2024-11-24,2545.0,Cama,Casa e Cozinha,716.91,2
TXN000055,2023-04-15,7932.0,Luva de Boxe,Esportes,368.79,5
TXN000056,2023-02-12,1514.0,Mochila,Esportes,555.08,1
TXN000057,2024-06-02,1964.0,Mouse,Eletrônicos,222.56,1
TXN000058,2024-03-19,9834.0,Talheres,Casa e Cozinha,164.83,5
TXN000059,2024-10-28,6947.0,Tênis de Corrida,Esportes,51.01,5
TXN000060,2023-10-02,,Calça Jeans,Roupas,176.16,4
TXN000061,2023-09-07,7930.0,Mochila,Esportes,248.49,4
TXN000062,2023-11-29,7543.0,Cama,Casa e Cozinha,224.37,3
TXN000063,2023-12-15,2290.0,Corda de Pular,Esportes,501.52,5
TXN000064,2023-07-15,2291.0,Boné,Roupas,191.24,2
TXN000065,2024-12-08,1958.0,Cafeteira,Casa e Cozinha,231.94,1
TXN000066,2023-10-29,9797.0,Cama,Casa e Cozinha,438.73,5
TXN000067,2024-01-13,4566.0,Garrafa Térmica,Esportes,106.03,5
TXN000068,2023-12-05,9423.0,Toalha,Casa e Cozinha,643.74,2
TXN000069,2023-05-04,9085.0,Romance,Livros,25.06,2
TXN000070,2023-07-16,5119.0,Toalha,Casa e Cozinha,789.64,5
TXN000071,2024-09-03,2403.0,Tablet,Eletrônicos,1555.88,3
TXN000072,2023-07-03,7932.0,Carregador,Eletrônicos,437.5,1
TXN000073,2024-07-20,3103.0,Casaco,Roupas,22.65,1
TXN000074,2024-08-10,8962.0,Cafeteira,Casa e Cozinha,654.21,2
TXN000075,2023-02-22,7126.0,Jogo de Panelas,Casa e Cozinha,568.42,4
TXN000076,2024-05-18,5333.0,Bola de Futebol,Esportes,444.18,5
TXN000077,2023-11-08,2291.0,Calça Jeans,Roupas,390.21,4
TXN000078,2024-09-12,6573.0,Mochila,Esportes,67.58,4
TXN000079,2023-11-01,9856.0,Ficção Científica,Livros,63.39,1
TXN000080,2023-08-01,8668.0,Romance,Livros,30.64,2
TXN000081,2024-07-19,1711.0,Camiseta,Roupas,434.29,5
TXN000082,2024-04-26,3103.0,Tablet,Eletrônicos,1265.43,3
TXN000083,2024-12-20,1035.0,Tablet,Eletrônicos,695.25,5
TXN000084,2024-11-08,,Jogo de Panelas,Casa e Cozinha,60.21,2
TXN000085,2023-09-30,6313.0,Smartphone,Eletrônicos,656.42,3
TXN000086,2024-09-01,5669.0,Aventura,Livros,58.9,3
TXN000087,2024-12-17,4139.0,Aventura,Livros,,5
TXN000088,2023-02-10,2528.0,Data Science,Livros,101.07,2
TXN000089,2024-11-21,9900.0,Bola de Futebol,Esportes,535.15,3
TXN000090,2024-08-13,4611.0,Casaco,Roupas,246.66,4
TXN000091,2023-10-12,8019.0,Mochila,Esportes,93.77,4
TXN000092,2023-04-04,4111.0,Biografia,Livros,111.29,1
TXN000093,2023-06-14,6539.0,Cafeteira,Casa e Cozinha,611.02,4
TXN000094,2024-07-17,9928.0,Jogo de Panelas,Casa e Cozinha,453.41,3
TXN000095,2023-04-29,4139.0,Bola de Futebol,Esportes,468.31,5
TXN000096,2024-04-18,4006.0,Tablet,Eletrônicos,1012.9,5
TXN000097,2024-05-25,8886.0,Tablet,Eletrônicos,1069.33,2
TXN000098,2023-10-22,7658.0,Jogo de Panelas,Casa e Cozinha,347.76,5
